25,110.17
mixamorig:RightHand\JointController\antTorqueX,mixamorig:RightHand\JointController\antTorqueY,mixamorig:RightHand\JointController\antTorqueZ,mixamorig:RightForeArm\JointController\antTorqueX,mixamorig:RightForeArm\JointController\antTorqueY,mixamorig:RightForeArm\JointController\antTorqueZ,mixamorig:RightArm\JointController\antTorqueX,mixamorig:RightArm\JointController\antTorqueY,mixamorig:RightArm\JointController\antTorqueZ,mixamorig:LeftHand\JointController\antTorqueX,mixamorig:LeftHand\JointController\antTorqueY,mixamorig:LeftHand\JointController\antTorqueZ,mixamorig:LeftForeArm\JointController\antTorqueX,mixamorig:LeftForeArm\JointController\antTorqueY,mixamorig:LeftForeArm\JointController\antTorqueZ,mixamorig:LeftArm\JointController\antTorqueX,mixamorig:LeftArm\JointController\antTorqueY,mixamorig:LeftArm\JointController\antTorqueZ,ybot_rig_arms_v6_split_ragdoll - v4\AntagonisticGains\stiffnessMultiplierLeft,ybot_rig_arms_v6_split_ragdoll - v4\AntagonisticGains\stiffnessMultiplierRight
-2.05,0.28,6.58,-107.14,-1.00,30.25,-3.95,36.49,0.13,6.15,-1.67,-3.26,5.55,-3.82,131.93,-16.15,-3.49,-9.52,0.24,0.24
-2.99,-0.23,-0.11,-90.64,-0.80,35.67,0.72,36.97,7.47,6.31,-1.67,-3.21,6.37,-3.76,164.39,-16.07,-3.48,-9.44,0.24,0.24
-2.92,0.78,1.85,-111.22,-0.72,32.93,8.29,39.19,4.39,6.29,-1.66,-3.19,6.79,-3.75,173.75,-15.75,-2.89,-9.29,0.24,0.24
-1.82,-1.43,9.48,-38.65,-8.02,141.41,17.82,190.94,-175.40,6.19,-1.65,-3.17,7.12,-3.78,174.49,-15.75,-2.49,-9.23,0.24,1.00
-3.36,0.62,-1.17,-72.16,-0.74,37.79,6.75,48.20,-34.93,6.17,-1.65,-3.14,7.41,-3.81,177.60,-15.88,-2.09,-9.18,0.24,0.24
-17.87,5.20,-15.55,-485.59,3.94,207.43,176.03,50.92,829.42,6.19,-1.65,-3.12,7.60,-3.83,185.22,-16.06,-1.76,-9.14,0.24,1.00
-2.16,1.12,7.52,-87.44,-1.01,37.91,4.94,30.56,-62.15,6.24,-1.66,-3.11,7.81,-3.89,181.56,-16.19,-1.44,-9.07,0.24,0.24
-21.06,0.37,3.25,-430.01,4.47,5.14,367.98,20.24,1225.02,6.33,-1.66,-3.09,7.62,-3.80,210.30,-16.37,-1.32,-9.04,0.24,1.00
-5.49,11.12,-5.44,-40.94,15.11,3.34,45.90,3.09,127.92,6.34,-1.67,-3.15,7.65,-3.92,158.67,-16.57,-1.23,-9.03,0.24,0.24
-1.81,5.71,-3.70,1.62,15.47,4.20,5.97,1.03,11.88,6.40,-1.67,-3.12,6.84,-3.66,228.53,-16.73,-1.54,-9.08,0.24,0.24
-0.03,0.82,-1.28,51.17,17.92,47.43,-14.44,-2.12,-22.71,6.42,-1.67,-3.14,6.54,-3.62,226.51,-16.77,-1.77,-9.10,0.24,0.24
1.28,0.42,4.11,79.68,3.65,45.77,-9.46,3.17,-55.03,6.43,-1.67,-3.15,6.28,-3.57,228.78,-16.83,-2.00,-9.13,0.24,0.24
-0.71,2.19,8.42,-104.91,-0.80,31.30,-11.22,24.26,20.78,6.42,-1.67,-3.17,6.38,-3.63,215.00,-16.77,-2.12,-9.13,0.24,0.24
-2.85,0.17,5.34,-104.40,-1.08,32.03,0.91,30.76,-9.16,6.42,-1.67,-3.19,6.24,-3.63,206.63,-16.85,-2.29,-9.17,0.24,0.24
-2.96,0.07,2.01,-110.00,-0.94,31.37,5.10,41.17,-22.41,6.41,-1.67,-3.20,6.20,-3.65,199.77,-16.87,-2.46,-9.22,0.24,1.00
-3.22,1.14,-1.21,-108.96,-0.94,32.13,3.36,42.01,-56.41,6.39,-1.67,-3.21,6.27,-3.70,192.01,-16.75,-2.56,-9.25,0.24,0.24
-2.77,0.52,-0.69,-104.36,-0.85,31.40,5.88,44.23,-27.39,6.38,-1.67,-3.22,6.18,-3.70,188.21,-16.66,-2.68,-9.30,0.24,0.24
-3.16,0.50,-0.98,-97.04,-0.71,32.97,7.40,46.68,-6.53,6.37,-1.67,-3.24,6.07,-3.70,182.80,-16.59,-2.84,-9.35,0.24,0.24
-3.48,0.43,-1.53,-88.69,-0.63,34.76,7.61,45.17,10.92,6.37,-1.67,-3.25,6.00,-3.71,177.93,-16.52,-2.99,-9.39,0.24,0.24
-4.05,0.67,-2.54,-69.16,-0.64,44.40,5.78,31.20,22.38,6.36,-1.67,-3.25,5.99,-3.73,173.89,-16.42,-3.09,-9.42,0.24,0.24
-3.44,0.38,0.17,-88.30,-0.70,33.05,10.17,50.01,-36.45,6.36,-1.67,-3.25,6.10,-3.75,172.84,-16.28,-3.11,-9.43,0.24,1.00
-8.46,-0.05,-4.15,-18.37,-7.53,144.54,18.32,155.00,-54.08,6.34,-1.67,-3.23,6.37,-3.78,170.81,-16.05,-2.96,-9.38,0.24,1.00
-3.19,0.58,0.79,-81.39,-0.68,33.89,9.52,54.83,-25.77,6.31,-1.67,-3.22,6.63,-3.80,171.57,-15.86,-2.71,-9.31,0.24,0.24
-4.39,0.37,1.01,66.59,-0.86,42.53,-10.50,16.98,-15.59,6.29,-1.66,-3.21,6.76,-3.79,174.56,-15.93,-2.51,-9.25,0.24,0.24
-1.29,-0.72,16.34,45.21,-2.02,37.27,6.86,45.44,-58.92,6.33,-1.67,-3.19,6.83,-3.77,180.20,-15.99,-2.38,-9.20,0.24,1.00
